Wikipedia_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_Languages,Movie_Countries,Movie_Genres,Year,Month,Revenue_with_inflation,log_revenues
975900,Ghosts of Mars,2001-08-24,14010832.0,98.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",2001,8.0,23152682.320496894,16.957621198760567
156558,Baby Boy,2001-06-27,29381649.0,123.0,['English Language'],['United States of America'],"['Crime Fiction', 'Drama', 'Coming of age']",2001,6.0,48552718.73571429,17.698160749809627
5566878,Tortilla Soup,2001-08-24,4574762.0,103.0,"['English Language', 'Spanish Language']",['United States of America'],"['Romantic comedy', 'Indie', 'Slice of life story', 'Family Drama', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",2001,8.0,7559723.168322981,15.838345129538567
570743,Down to Earth,2001-02-12,71186502.0,87.0,['English Language'],"['United States of America', 'Australia', 'Canada', 'Germany']","['Romantic comedy', 'Romance Film', 'Fantasy', 'Comedy']",2001,2.0,117634589.17453416,18.58309367581613
366111,Shallow Hal,2001-11-01,141069860.0,113.0,['English Language'],"['United States of America', 'Germany']","['Romantic comedy', 'Fantasy', 'Comedy', 'Drama', 'Romance Film', 'Fantasy Comedy', 'Comedy of Errors']",2001,11.0,233115753.1242236,19.267045682692995
703687,Monster's Ball,2001-11-11,44909486.0,112.0,['English Language'],['United States of America'],"['Romantic drama', 'Romance Film', 'Melodrama', 'Drama', 'Indie']",2001,11.0,74212228.26273292,18.122439495943894
277710,Heartbreakers,2001-03-23,57756408.0,123.0,"['Russian Language', 'English Language']",['United States of America'],"['Crime Fiction', 'Romantic comedy', 'Romance Film', 'Comedy']",2001,3.0,95441567.38136646,18.374024758307332
22751,Original Sin,2001-07-11,36402320.0,118.0,"['Japanese Language', 'Spanish Language', 'Latin Language', 'English Language', 'German Language']","['United States of America', 'France']","['Thriller', 'Mystery', 'Romance Film', 'Drama']",2001,7.0,60154268.546583846,17.91242296289755
2352505,Bones,2001-10-26,7316658.0,96.0,['English Language'],"['United States of America', 'Canada']","['Blaxploitation', 'Action', 'Horror']",2001,10.0,12090663.732298136,16.307944120364308
532618,Scary Movie 2,2001-07-04,141220678.0,89.0,['English Language'],"['United States of America', 'Canada']","['Parody', 'Horror', 'Gross-out film', 'Horror Comedy', 'Comedy', 'Gross out', 'Teen', 'Haunted House Film']",2001,7.0,233364977.52732918,19.26811421311855
