Movie Countries,log_revenues,Revenue with inflation,Countries_List,primary countries,United_States_of_America,United_Kingdom,France,Germany,Canada,South_Korea,Japan,Australia,Italy,Spain,Hong_Kong,New_Zealand,Ireland,China,Others
['United States of America'],19.272029483768776,234280455.5773292,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Japan'],15.712844338255158,6668092.1217391305,['Japan'],['Japan'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
['United States of America'],20.38855883744394,715547711.4763975,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Germany', 'United Kingdom', 'Netherlands']",17.071770032730623,25952280.20093168,"['United States of America', 'Germany', 'United Kingdom', 'Netherlands']","['United States of America', 'Germany', 'United Kingdom', 'Others']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"['United States of America', 'Germany']",18.10430440734332,72878513.00279503,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia']",19.308769918446966,243048098.62515527,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['United States of America'],17.749174757769413,51093853.17236025,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.82904631096944,20359258.12204969,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.920134854050364,60619965.110559,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.308528577543306,32885045.80310559,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Italy', 'Germany']",17.175583348323382,28791286.5310559,"['United States of America', 'Italy', 'Germany']","['United States of America', 'Italy', 'Germany']",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
['United States of America'],13.659763282517146,855775.4385093168,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'United States of America']",18.483491600847916,106482541.57981366,"['France', 'United States of America']","['France', 'United States of America']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],11.30462713873852,81196.47701863354,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",17.016868189338638,24565858.948757764,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['Spain', 'Argentina']",16.4692413297545,14206942.758695653,"['Spain', 'Argentina']","['Spain', 'Others']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
['United States of America'],19.471022225921384,285862712.102795,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.565339029563104,778667.2080745342,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.79186998065723,144945733.79658386,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.98037260661294,23685476.36397516,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.00607560657393,66060107.588509314,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'United Kingdom', 'Germany']",16.488145364593265,14478065.886024844,"['United States of America', 'United Kingdom', 'Germany']","['United States of America', 'United Kingdom', 'Germany']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Germany']",19.65187992583586,342533467.3680124,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
['France'],18.23190616820709,82797313.08850932,['France'],['France'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.311380432533195,89646115.95465839,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.656928377610473,17140049.817080744,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'Spain']",16.35127705847549,12626105.05590062,"['France', 'Spain']","['France', 'Spain']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
['France'],15.960554432571916,8542416.024223601,['France'],['France'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.512612287338186,40330246.84006211,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.76088892776934,51695894.57763975,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada', 'United Kingdom']",16.892463307777152,21692200.01925466,"['United States of America', 'Canada', 'United Kingdom']","['United States of America', 'Canada', 'United Kingdom']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.836892839530467,151620741.56583852,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.461088682881144,14091589.42763975,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],14.226159696832736,1507796.2366459628,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],11.61472779443102,110716.45962732918,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Canada', 'United Kingdom']",16.98777167314074,23861376.72608696,"['Canada', 'United Kingdom']","['Canada', 'United Kingdom']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],20.5837883764728,869812628.1481366,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'United Kingdom']",20.18054700861445,581166011.8099378,"['United States of America', 'United Kingdom']","['United States of America', 'United Kingdom']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.47035761597588,38661607.67981366,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.605409484346945,810502.3214285714,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.586665887637807,118055556.28881988,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.979199714277332,475177850.6195652,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'United States of America']",17.31912396133662,33235327.894099377,"['France', 'United States of America']","['France', 'United States of America']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.11239948068408,73470864.23913044,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Ireland', 'United Kingdom', 'Germany']",18.89225676342127,160251780.33229813,"['United States of America', 'Ireland', 'United Kingdom', 'Germany']","['United States of America', 'Ireland', 'United Kingdom', 'Germany']",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"['United States of America', 'Australia', 'United Kingdom']",19.506367918271028,296147416.8677018,"['United States of America', 'Australia', 'United Kingdom']","['United States of America', 'Australia', 'United Kingdom']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['United States of America', 'United Kingdom']",16.307061907961366,12080001.902484473,"['United States of America', 'United Kingdom']","['United States of America', 'United Kingdom']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],15.73274685619017,6802133.399689441,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'France', 'Japan', 'Germany']",19.28098159766597,236387176.6335404,"['United States of America', 'France', 'Japan', 'Germany']","['United States of America', 'France', 'Japan', 'Germany']",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"['United States of America', 'France', 'Italy', 'India', 'Germany']",17.74489454023501,50875627.72546584,"['United States of America', 'France', 'Italy', 'India', 'Germany']","['United States of America', 'France', 'Italy', 'Others', 'Germany']",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
['United States of America'],14.368434137458229,1738327.7354037266,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Canada'],12.923838850910109,409969.8301242236,['Canada'],['Canada'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],14.345733388345268,1699310.924534161,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.95244697360662,170193566.47701862,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.273264896802296,31745606.53260869,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.652997573954075,342916513.26863354,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'Austria', 'Germany']",16.949518705725634,22965845.816149067,"['France', 'Austria', 'Germany']","['France', 'Others', 'Germany']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
['United States of America'],16.990100863195764,23917019.18322981,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.198368762270213,217643456.7357143,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.0841221691569,194146224.79285717,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.062064831861456,25701626.398757763,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],14.04826259215045,1262068.49068323,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Germany']",18.399012440638977,97856476.7916149,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'France']",13.585509436535114,794532.7114906833,"['United States of America', 'France']","['United States of America', 'France']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"['Mexico', 'Spain']",16.18326805752229,10673430.254658384,"['Mexico', 'Spain']","['Others', 'Spain']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
['United States of America'],15.61092731665583,6021983.913043479,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.751380644223723,51206684.8121118,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.837900928881414,55834411.39161491,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Australia', 'New Zealand', 'Germany']",17.074468901423934,26022416.59937888,"['Australia', 'New Zealand', 'Germany']","['Australia', 'New Zealand', 'Germany']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
['United States of America'],17.491827519627815,39500643.45062112,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Germany']",17.257709073846794,31255598.617080744,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.77104437372734,52223564.26677018,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.942651814589327,1135577.4142857145,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.75776450646832,140085639.80807453,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.310417310756737,32947215.57391304,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.304081494611854,12044052.10279503,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.648774394484622,125620296.4,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],20.227992908016635,609404560.4624224,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'Germany']",19.47639711238257,287403328.3335404,"['France', 'Germany']","['France', 'Germany']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'United Kingdom', 'Germany']",11.324515159621374,82827.47919254658,"['United States of America', 'United Kingdom', 'Germany']","['United States of America', 'United Kingdom', 'Germany']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.21897081021821,30067962.984472048,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Italy', 'United Kingdom']",10.804979715036442,49265.51956521739,"['Italy', 'United Kingdom']","['Italy', 'United Kingdom']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"['United States of America', 'Japan']",18.543328104247497,113048569.65062112,"['United States of America', 'Japan']","['United States of America', 'Japan']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
['United States of America'],16.908766618069098,22048753.28881988,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada', 'United Kingdom']",17.099955241541963,26694156.494720496,"['United States of America', 'Canada', 'United Kingdom']","['United States of America', 'Canada', 'United Kingdom']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'France']",17.101364367501972,26731798.438509315,"['United States of America', 'France']","['United States of America', 'France']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.54382593011399,307450891.5295031,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.348877143020797,12595839.80279503,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",12.942261932721776,417592.7409937888,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['Mexico'],17.832813183348463,55551061.531677015,['Mexico'],['Others'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['United States of America', 'France']",13.955206658582387,1149924.2844720497,"['United States of America', 'France']","['United States of America', 'France']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia']",18.970571375593845,173306346.51956522,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['United States of America'],15.928806720200429,8275473.682608696,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'France']",12.041087509742244,169581.26149068322,"['United States of America', 'France']","['United States of America', 'France']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.96751659871116,63561379.208385095,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Hong Kong']",20.16805370413096,573950494.547205,"['United States of America', 'Hong Kong']","['United States of America', 'Hong Kong']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
['United States of America'],15.800080896026104,7275920.527639751,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.973449940781563,173805938.84503105,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],10.789906769987455,48528.51149068323,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.30207985693945,32673661.641925465,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.42646964358999,37001523.43167702,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['France', 'Japan']",16.656356402108145,17130248.931677017,"['France', 'Japan']","['France', 'Japan']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
['United States of America'],15.574179127412885,5804703.687267081,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.226330526131196,554782.001863354,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Hong Kong'],15.66533463127253,6358700.759006211,['Hong Kong'],['Hong Kong'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"['United States of America', 'Australia']",18.69929944224026,132130343.25434782,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['United States of America'],14.723255562130356,2478726.7080745343,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Czech Republic']",18.629369342427577,123206127.30279502,"['United States of America', 'Czech Republic']","['United States of America', 'Others']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['United States of America', 'Canada']",20.500720495247563,800478710.8627329,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.51451607773344,109837886.51304348,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Australia', 'United Kingdom', 'Germany']",14.018567372926528,1225142.0726708074,"['Australia', 'United Kingdom', 'Germany']","['Australia', 'United Kingdom', 'Germany']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
['United States of America'],17.242813419568805,30793476.377018634,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",18.766289683619075,141284999.81801242,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.69944106965288,48614921.55621118,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.894153516829004,59065261.44968944,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United Kingdom', 'Germany']",15.150996924049611,3801844.585093168,"['United Kingdom', 'Germany']","['United Kingdom', 'Germany']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.91900844716041,60551720.8068323,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.491668912959653,39494378.88198758,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Japan']",18.76199145022182,140679027.1521739,"['United States of America', 'Japan']","['United States of America', 'Japan']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
['United States of America'],17.517147908789305,40513585.03478261,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.53187026361328,111760669.5226708,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Australia', 'New Zealand']",17.992537362501782,65171796.38322981,"['Australia', 'New Zealand']","['Australia', 'New Zealand']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"['France', 'Ireland', 'United Kingdom']",19.959448540065427,465884608.4456522,"['France', 'Ireland', 'United Kingdom']","['France', 'Ireland', 'United Kingdom']",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"['United States of America', 'United Kingdom']",12.840231319396688,377087.0416149068,"['United States of America', 'United Kingdom']","['United States of America', 'United Kingdom']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.52016745413656,110460379.06614909,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.927633088612794,22468684.29534161,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Italy', 'United Kingdom']",18.79232840077635,145012195.0695652,"['United States of America', 'Italy', 'United Kingdom']","['United States of America', 'Italy', 'United Kingdom']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
['United States of America'],19.48886713702249,291009693.9204969,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.90090048421311,161642955.78229812,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],15.849545705014847,7644872.388198758,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.10531647483952,9873021.308385093,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
