Movie Countries,log_revenues,Revenue with inflation,Countries_List,primary countries,United_States_of_America,United_Kingdom,France,Germany,Canada,South_Korea,Japan,Australia,Italy,Spain,Hong_Kong,New_Zealand,Ireland,China,Others
['United States of America'],16.957621198760567,23152682.32049689,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.698160749809627,48552718.73571429,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],15.838345129538569,7559723.168322981,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia', 'Canada', 'Germany']",18.58309367581613,117634589.17453416,"['United States of America', 'Australia', 'Canada', 'Germany']","['United States of America', 'Australia', 'Canada', 'Germany']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"['United States of America', 'Germany']",19.267045682692995,233115753.1242236,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.12243949594389,74212228.26273292,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.37402475830733,95441567.38136646,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'France']",17.91242296289755,60154268.546583846,"['United States of America', 'France']","['United States of America', 'France']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",16.307944120364308,12090663.732298136,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",19.26811421311855,233364977.5273292,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.145633344148116,27941772.356211174,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.415262097119612,13460393.238819877,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Spain', 'Italy', 'France']",19.70662031440799,361806578.8437888,"['United States of America', 'Spain', 'Italy', 'France']","['United States of America', 'Spain', 'Italy', 'France']",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"['United States of America', 'Germany']",18.492200569810706,107413944.6226708,"['United States of America', 'Germany']","['United States of America', 'Germany']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.66827874244949,128094488.69068325,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Canada'],13.137641592419254,507697.7618012423,['Canada'],['Canada'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['Italy', 'Czech Republic', 'United Kingdom', 'Germany']",12.965978675746673,427615.0593167702,"['Italy', 'Czech Republic', 'United Kingdom', 'Germany']","['Italy', 'Others', 'United Kingdom', 'Germany']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
['United States of America'],15.864454900026107,7759705.186645962,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia']",18.92316153982856,165281648.92298135,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['France', 'United States of America']",12.0628806182054,173317.5288819876,"['France', 'United States of America']","['France', 'United States of America']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.95013918839127,22980100.14720497,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia']",19.61953938600895,331632964.2645963,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['Canada'],16.10926821690807,9912114.133540371,['Canada'],['Canada'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.34539487076326,624929.9677018634,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.08753025837193,71666233.86925466,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],15.707455627565096,6632256.343478261,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],11.519301189939156,100639.6093167702,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Japan', 'United Kingdom', 'Germany']",19.933482205768104,453943003.7701863,"['United States of America', 'Japan', 'United Kingdom', 'Germany']","['United States of America', 'Japan', 'United Kingdom', 'Germany']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
['United States of America'],16.924821738109923,22405605.65807453,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],18.11479772627801,73647276.87142856,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['France'],18.57698403563957,116918075.21242236,['France'],['France'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Canada']",18.54415635264091,113142240.73291925,"['United States of America', 'Canada']","['United States of America', 'Canada']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
['United States of America'],16.019014708466997,9056693.979192546,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],13.097708592763068,487823.3310559006,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Belgium']",16.93165128697596,22559149.55776397,"['United States of America', 'Belgium']","['United States of America', 'Others']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['Italy'],17.19250398140017,29282598.256832294,['Italy'],['Italy'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
['United States of America'],20.428630434914076,744803091.6614907,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],17.7094628163734,49104577.49254658,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Australia']",17.57921628992974,43107876.591925465,"['United States of America', 'Australia']","['United States of America', 'Australia']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['United States of America'],16.64304963595289,16903810.63695652,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Austria', 'United Kingdom', 'Germany']",13.448893673971243,693075.1223602485,"['United States of America', 'Austria', 'United Kingdom', 'Germany']","['United States of America', 'Others', 'United Kingdom', 'Germany']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
['United States of America'],20.425305303136945,742330636.1319876,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['United States of America', 'Ireland', 'United Kingdom', 'Panama']",17.650297132825568,46283548.54099379,"['United States of America', 'Ireland', 'United Kingdom', 'Panama']","['United States of America', 'Ireland', 'United Kingdom', 'Others']",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
['United States of America'],18.50371442719515,108657840.74161492,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['United States of America'],19.31455789913498,244458935.3354037,['United States of America'],['United States of America'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['France'],14.787794083267926,2643975.155279503,['France'],['France'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
