Language,log_revenues,Revenue with inflation,count
Sicilian Language,21.354459573229185,1879853289.473684,1
Nepali Language,20.95070190078481,1255377173.190374,1
Pawnee Language,20.671826278179665,949861059.0010712,1
Amharic Language,20.66985514690426,947990602.223928,1
Assyrian language,20.66985514690426,947990602.223928,1
Sinhala Language,20.659540673946992,938262833.4408565,1
Old English language,20.624625394987934,1188309681.0742292,3
Swiss German Language,20.31208904100357,662869728.5618796,1
Assyrian Neo-Aramaic Language,19.72917212887865,1291207441.0077693,3
Hmong language,19.720725896410485,366946234.91237926,1
Picard Language,19.624301283907943,333215932.55581665,1
German,19.51607918981035,299376854.1494725,2
Chewa language,19.477009468672428,287579375.4656539,1
Italian,19.468435537168386,285124229.7642391,1
Krio Language,19.33226135238106,248825237.94764385,1
Aboriginal Malay languages,19.31338040892997,244171256.7361239,1
Standard Tibetan,19.29489604618088,239699364.02311525,1
Estonian Language,19.176055353564443,227328022.2240265,2
Albanian language,19.064660133993705,213294996.33363435,2
Sioux language,19.055823918541545,333331868.7786788,4
Tok Pisin Language,18.98701292302419,176179324.41763803,1
Swahili Language,18.916701304157666,323048034.08494425,11
Klingon language,18.88533242188943,239055908.52736393,4
Mohawk Language,18.8749322278636,157499403.33342832,1
Kinyarwanda language,18.834602569890816,151273886.53207946,1
Mende Language,18.768931530970832,164736503.88302752,2
Greek Language,18.75076033303223,441654608.8583079,15
Malay Language,18.720402300559776,134948300.0633012,1
Korean Sign Language,18.717563878381533,134565802.91648135,1
Xhosa Language,18.653027156349673,461703808.2396601,5
Aramaic language,18.617951038451544,276982429.18679917,5
Navajo Language,18.588555781478423,120863143.51440719,5
Corsican Language,18.503436355067485,108627630.2251985,1
American Sign Language,18.502578019202147,226114244.4684984,16
Malayalam Language,18.468463402977704,104894265.2329749,1
Latin Language,18.459711277074224,332534592.4034669,49
Tibetan languages,18.360208171133962,249882172.4493872,6
Filipino language,18.200262669082644,171972539.11012954,5
Croatian language,18.098101202603573,409745487.6489414,5
Hawaiian language,18.056657293128183,223227148.01214695,4
Gaelic,18.007492353101625,196946456.5827219,5
Sotho language,17.993743603066783,151192204.15117052,2
Sumerian,17.991146885837846,65081239.49442287,1
Shanghainese,17.967200686066832,80182930.26977512,3
Khmer language,17.941206671092328,140989419.24309087,3
Galician Language,17.904859878563087,59701032.83088935,1
Chinese language,17.896163365245613,229017673.39885202,21
Tagalog language,17.774659321199202,135874212.45017776,3
Afrikaans Language,17.707906756946223,179369407.1217252,8
Dutch Language,17.706280718793234,150373884.28458562,12
"Apache, Western Language",17.684237702345044,49295687.637514636,2
