Language,log_revenues,Revenue with inflation,count
Somali Language,17.682848751924702,92235716.565059,4
Italian Language,17.682731385766832,184266559.46435305,239
Napoletano-Calabrese Language,17.67306808377731,47349559.93971287,1
Arabic Language,17.670441328174327,219992196.6682038,81
Irish,17.659436001340804,103057120.50773121,8
Catalan language,17.65344468628038,60583126.849280715,4
Sanskrit Language,17.653200342451573,199486512.6670866,3
Vietnamese Language,17.64909566300734,119176404.54245554,17
Russian Language,17.647036765868855,203558298.84419206,186
Algonquin Language,17.63887490209819,45757894.95399385,1
German Language,17.619600290895626,175110696.58201864,266
Portuguese Language,17.59284981153139,181151766.51601547,45
Esperanto Language,17.58960457028271,64476904.49689628,5
Spanish Language,17.58505026774741,169428410.79028952,427
Thai Language,17.584199747114333,189474368.47805336,16
Inuktitut,17.497819945279208,113946101.6922696,5
Mandarin Chinese,17.456878571535977,126991817.27053404,24
Standard Mandarin,17.430313978494354,135333766.81931874,117
Swedish Language,17.42175643209627,274809083.93474394,24
French Language,17.348593780771314,157139920.23195985,534
Romanian Language,17.341439152127776,137293420.66062236,17
Czech Language,17.280676663295438,179301406.72829947,22
Cantonese,17.271346961616285,133164648.50193723,71
Japanese Language,17.264867908158983,114728095.49860515,218
Silent film,17.261461055889335,105396970.6836073,23
Māori language,17.249415440226333,79125022.59004974,4
Hebrew Language,17.24036287418167,192650244.97485438,46
Icelandic Language,17.219037096116782,159797520.53316456,12
Urdu Language,17.213782181834596,160855417.35167688,14
Zulu Language,17.206236677025203,447762368.11679804,5
Ukrainian Language,17.145527655206532,79002146.43193758,14
Hungarian language,17.081811932892595,148070526.14545012,19
Armenian Language,17.05903739026485,108014417.14700474,6
English Language,17.04707398067287,109874599.06942992,7387
Mongolian language,17.00561721229242,26026539.79966511,3
Punjabi language,16.96939543453511,44945063.86039505,5
Indonesian Language,16.91717926345051,48954144.35878057,2
"Maya, Yucatán Language",16.875503555925153,57967645.25555922,4
Hindi Language,16.853326687735574,144359438.36609253,35
Norwegian Language,16.835856885126525,126225885.96926124,10
Danish Language,16.815233869778165,81250136.48447952,14
Ancient Greek,16.812724177020876,20029648.864736658,1
Slovenian language,16.761097525255266,19021824.298987724,1
Luxembourgish language,16.75775541874015,18958357.45162601,1
Finnish Language,16.752464741473748,79188390.012832,13
Standard Cantonese,16.735346187829467,94911350.34344707,30
Polish Language,16.655782004674865,118908284.09069525,21
Scottish Gaelic language,16.65414786501986,21783119.264792312,2
Welsh Language,16.60732383686329,81567894.79594077,3
France,16.52328842607939,56714739.52347317,3
Slovak Language,16.414766286735823,38648862.246052586,6
Dari,16.410793786603858,90509700.49270386,3
American English,16.393689573622236,54415223.867337674,38
Osetin Language,16.363887519165498,12786334.21578961,1
Bulgarian Language,16.35532539097055,158986633.68662125,5
Bengali Language,16.312540705734445,15312159.33094842,3
Gujarati Language,16.2080892603787,10941672.91319675,1
Hopi Language,16.056493644026105,9402570.2811245,1
Marathi Language,15.937016372822452,8343692.088382036,1
Korean Language,15.869132797482587,26339761.721892793,251
Serbian language,15.856733419037312,86671172.53946348,14
Yiddish Language,15.82104142880978,86022801.86572765,22
Australian English,15.756804788470223,6967763.029009264,1
Persian Language,15.753112873465893,80975469.95985715,21
Romani language,15.686426566479692,189873199.97264186,4
Wolof Language,15.633372203303718,17437436.814017322,2
Taiwanese,15.59163319959692,5906908.75709239,1
Turkish Language,15.512778948369146,60519153.80715963,30
Scanian Language,15.481577010476746,5291313.176100352,1
𐐖𐐲𐑉𐑋𐑌𐐲,15.431888920398112,10177237.36038437,2
Burmese Language,15.395482451214955,52842148.94168528,3
Tamil Language,15.366134218866812,10216156.423531594,22
Telugu language,15.33944141113771,4976298.849663286,4
Bosnian language,15.28465914870353,51128343.25715977,3
Brazilian Portuguese,15.249819869827757,25100144.963882707,2
"Egyptian, Ancient",15.125124477275468,3704743.106292984,1
Friulian Language,14.93951863384092,3077163.0223529404,1
Serbo-Croatian,14.938523115320107,28955798.13939638,7
Min Nan,14.829472705701653,2756501.071423577,1
Kurdish language,14.676733282194835,20319792.08317588,2
Cree language,14.493164952411291,1969253.219422572,1
Georgian Language,14.411931272487289,4790257.806411459,3
Tzotzil language,14.32274946674018,1660699.5159813082,1
Kuna language,14.32274946674018,1660699.5159813082,1
Nahuatl languages,14.32274946674018,1660699.5159813082,1
Quechua,13.52696948715266,749356.0278552298,1
Pashto language,13.260903263040845,1323339.9796088466,3
Sami languages,13.133585066179512,505642.4440522512,1
"Saami, North Language",13.133585066179512,505642.4440522512,1
Chechen Language,12.909814087630348,2837393.7461810494,2
"Farsi, Western Language",11.158091917581624,70129.0165073295,1
Papiamento language,10.887929401721571,53526.35357142857,1
